"Denkmalzone ehemaliges Augustiner-Chorherrenstift Springiersbach (Karmelitenstraße 2, nördlich der Ortslage)",Bengel (Mosel),"heute Karmeliterkloster

Kirche St. Abrunculus; Säulenbasen des Gründungsbaus, 1127–36, pilastergegliederter Saalbau, 1769–72;
vierflügelige Klosteranlage: Ostflügel 1680, Wiederaufbau nach Brand von 1940, Nordflügel 1720; ehemaliges Abtshaus, 1629; Rokokoportal der ehemaligen Gerberei;
Kreuzigungsbildstock, bezeichnet 1691

",50.015367,7.062231
vierflügelige Klosteranlage,Bengel (Mosel),"Ostflügel 1680, Wiederaufbau nach Brand von 1940, Nordflügel 1720; ehemaliges Abtshaus, 1629; Rokokoportal der ehemaligen Gerberei;",50.015367,7.062231
südlich von Kloster Springiersbach,Bengel (Mosel),"Springiersbacher Hof; ehemaliger Wirtschaftshof; Massivbau, später um vier Achsen erweitert",50.015367,7.062231
(bei) Moselstraße 14,Bengel (Mosel),"Schaftkreuz in spätbarocken Formen, Rotsandstein",50.015981,7.056464
Trierer Straße 2,Bengel (Mosel),"Katholische Pfarrkirche St. Quirinus; neuspätgotische Hallenkirche, 1901/02",50.0159,7.064064
(hinter) Trierer Straße 8,Bengel (Mosel),"eingeschossiges, aufwendig gestaltetes Wirtschaftsgebäude (Fabrikationshalle, Werkstatt?), Anfang des 20. Jahrhunderts",50.015639,7.06366
(bei) Zum Wiesental 22,Bengel (Mosel),"Wegekreuz; Schaftkreuz, um 1700 (?)",50.015981,7.056464
"an der B 49 (Koblenzer Straße), südöstlich von Kloster Springiersbach",Bengel (Mosel),"Springiersbacher Mühlen; nahe der Alf zwei Mühlen mit Mühlenteich und Gräben;

ehemalige Klostermühle; Krüppelwalmdachbau, bezeichnet 1731, Mühlentechnik; Sockelkreuz, Sandstein, bezeichnet 1767, Kreuz um 1850;
Ölmühle: Ende des 19. Jahrhunderts, Mühlentechnik

",52.603269,8.071731
Ölmühle,Bengel (Mosel),"Ende des 19. Jahrhunderts, Mühlentechnik",53.780809,10.313746
südlich von Kloster Springiersbach,Bengel (Mosel),"Springiersbacher Hof; ehemaliger Wirtschaftshof; Massivbau, später um vier Achsen erweitert",50.015367,7.062231
"





Trierer Straße 2",Bengel (Mosel),"Katholische Pfarrkirche St. Quirinus


",50.0159,7.064064
"





an der B 49",Bengel (Mosel),"ehemalige Klostermühle


",52.603269,8.071731
"





an der B 49",Bengel (Mosel),"Ölmühle


",52.603269,8.071731
